timestamp,motor,mobil,bus,truk,ambulans,total,capacity,vc_ratio,status
2026-07-16 07:41:57,0,0,0,0,0,0,320,0.00,LANCAR
2026-07-16 07:42:07,0,1,0,0,0,1,320,0.00,LANCAR
2026-07-16 07:42:18,0,1,0,0,0,1,320,0.00,LANCAR
2026-07-16 07:42:28,2,1,0,0,0,3,320,0.01,LANCAR
2026-07-16 07:42:38,4,2,0,0,0,6,320,0.02,LANCAR
2026-07-16 07:42:48,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 07:42:58,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 07:43:09,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 07:43:19,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 07:43:29,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 07:43:39,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 07:43:50,6,3,0,0,0,9,320,0.03,LANCAR
2026-07-16 08:31:14,0,0,0,0,0,0,320,0.00,LANCAR
2026-07-16 08:31:25,0,0,0,0,0,0,320,0.00,LANCAR
2026-07-16 08:31:35,0,1,0,0,0,1,320,0.00,LANCAR
2026-07-16 08:31:45,0,1,0,0,0,1,320,0.00,LANCAR
2026-07-16 08:31:55,4,2,0,0,0,6,320,0.02,LANCAR
2026-07-16 08:32:06,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 08:32:16,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 08:32:26,5,3,0,0,0,8,320,0.03,LANCAR
2026-07-16 08:32:36,5,3,0,0,0,8,320,0.03,LANCAR
